semantic_id,uscdi_element,uscdi_description,classification,ruleset_category,privacy_security,domain,rollup_relationship,is_rollup,composite_group,data_steward,steward_contact,approval_status,schema_version,last_modified_date,identifier_type,identifier_authority,hipaa_category,fhir_security_label,consent_category,hie_survivorship_logic,data_source_rank_reference,coverage_personids,granularity_level,innovaccer_survivorship_logic,data_quality_notes,fhir_r4_path,fhir_data_type,shie_survivorship_logic,calculation_grain,historical_freeze,recalc_window_months,fhir_must_support,fhir_profile,fhir_cardinality,identity_resolution_notes,tie_breaker_rule,conflict_detection_enabled,manual_override_allowed,de_identification_method
Patient.race,Race,Patient's race(s),Master Demographics,Static/Dynamic Identity,,,,,,,,,,,,,,,,"Detailed > high-level (Japanese > Asian), support multiple values, most recent self-report preferred","Mark's Table 2 (Race): Highland #1, Alliance #7, Housing #20",~239K (37%),Specific > High-level,Ask Innovaccer what logic they use to arrive at SBR,"28 race values; granularity varies by source; Full structure includes ombCategory (5 high-level), detailed (granular), and text; PRIORITY: .extension(detailed) > .extension(ombCategory) when both present; US CORE REQUIREMENT: ombCategory is MANDATORY (1..1), detailed is optional (0..*); Logic: look for detailed first, fallback to ombCategory",Patient.extension(us-core-race) [contains .extension(ombCategory) + .extension(detailed) + .extension(text)],"Complex Extension: ombCategory (Coding 1..1 REQUIRED), detailed (Coding 0..*), text (string)",,,,,,,,,,,,
Patient.ethnicity,Ethnicity,Hispanic/Latino ethnicity,Master Demographics,Static/Dynamic Identity,,,,,,,,,,,,,,,,"Most recent self-reported value, detailed > high-level (Mexican > Hispanic or Latino)","Mark's Table 2 (Ethnicity): Highland #1, Alliance #7, Housing #20",~249K (38%),Specific > High-level,Ask Innovaccer what logic they use to arrive at SBR,"7 ethnicity values; Housing has most coverage but less granular; Full structure includes ombCategory (2 high-level), detailed (granular), and text; PRIORITY: .extension(detailed) > .extension(ombCategory) when both present; US CORE REQUIREMENT: ombCategory is MANDATORY (1..1), detailed is optional (0..*); Logic: look for detailed first, fallback to ombCategory",Patient.extension(us-core-ethnicity) [contains .extension(ombCategory) + .extension(detailed) + .extension(text)],"Complex Extension: ombCategory (Coding 1..1 REQUIRED), detailed (Coding 0..*), text (string)",,,,,,,,,,,,
Patient.language,Preferred Language,Patient's preferred language for communication,Master Demographics,Dynamic Identity,,,,,,,,,,,,,,,,"Most recent patient-stated preference, timestamp required, clinical context may override; specific language (Japanese) > primary language (English/Spanish)","Mark's Table 2 (Language): Highland #1 (92 languages), St Rose #17",~135K (21%),Specific > Primary,Ask Innovaccer what logic they use to arrive at SBR,112 language values; critical for Mam-speaking population outreach,Patient.communication.language,CodeableConcept (0..*),,,,,,,,,,,,
Patient.marital_status,Marital Status,Current marital status,Master Demographics,Dynamic Identity,,,,,,,,,,,,,,,,"Most recent with timestamp, aligned to address ranking (likely to change over time), grouped: Single, Married, Divorced, Other","Mark's Table 2 (Marital Status): Marina Wellness #18, Highland #24, Housing lower",~135K (21%),Specific,Ask Innovaccer what logic they use to arrive at SBR,Ranking aligned with address (both dynamic); skip 'Unknown' in first pass,Patient.maritalStatus,CodeableConcept,,,,,,,,,,,,
Patient.religion,Religion,Religious affiliation,Master Demographics,Static/Dynamic Identity,,,,,,,,,,,,,,,,"Most recent self-reported, specific religion (Catholic) > primary religion (Christian), support multiple affiliations","Mark's Table 2 (Religion): Highland #1 (45 religions), St Rose #17, Marina #6",~100K (15%),Specific > High-level,Ask Innovaccer what logic they use to arrive at SBR,53 religion values grouped into 7 categories; many unmapped codes need identification,Patient.extension(patient-religion),Extension ? CodeableConcept,,,,,,,,,,,,
Patient.address,Address (Full),Current residential address - all components selected as coherent set,Master Demographics,Dynamic Contact,,,,,,,,,,,,,,,,"Most recent with timestamp, COHERENCE REQUIREMENT: (Address Line 1-3 + City + State + Zip + Country) selected together as set from same source/same timestamp, detailed > partial, some data > none","Mark's Table 2 (Address): Physician practices rank 1-23, Hospitals 24-38, Claims data 39-44, Crisis sources 55-58",~570K (88%) with city+ZIP in Alameda County,Complete > Partial,Ask Innovaccer what logic they use to arrive at SBR,"CRITICAL: Address components must come from SAME source record; Payer/claims data 'notoriously outdated'; Crisis services (Falck, Cherry Hill, JG) unreliable; Flag quality tiers; PRIORITY: Address.use='home' preferred, explicitly exclude .use='old'",Patient.address,Address (0..*),,,,,,,,,,,,
Patient.address_line1,Address Line 1,Street address (primary line),Master Demographics,Dynamic Contact,,,,,,,,,,,,,,,,Part of Address coherence set (see Address Full above),See Address Full,See Address Full,Specific,Ask Innovaccer what logic they use to arrive at SBR,Required field; skip if missing (incomplete address),Patient.address.line,Address.line[0] (string),,,,,,,,,,,,
Patient.address_line2,Address Line 2,"Apartment, suite, unit",Master Demographics,Dynamic Contact,,,,,,,,,,,,,,,,Part of Address coherence set (see Address Full above),See Address Full,See Address Full,Specific,Ask Innovaccer what logic they use to arrive at SBR,Optional; split from Line 1 if needed,Patient.address.line,Address.line[1] (string),,,,,,,,,,,,
Patient.address_line3,Address Line 3,Additional address detail,Master Demographics,Dynamic Contact,,,,,,,,,,,,,,,,Part of Address coherence set (see Address Full above),See Address Full,See Address Full,Specific,Ask Innovaccer what logic they use to arrive at SBR,Optional,Patient.address.line,Address.line[2] (string),,,,,,,,,,,,
Patient.address_city,City,City name,Master Demographics,Dynamic Contact,,,,,,,,,,,,,,,,Part of Address coherence set; harmonize city names (if ZIP in range and city resembles 'oak' then 'Oakland'),See Address Full,See Address Full,Specific,Ask Innovaccer what logic they use to arrive at SBR,Data cleaning rules needed; crosswalk from ZIP if missing,Patient.address.city,Address.city (string),,,,,,,,,,,,
Patient.address_state,State,State/Province,Master Demographics,Dynamic Contact,,,,,,,,,,,,,,,,Part of Address coherence set,See Address Full,See Address Full,Specific,Ask Innovaccer what logic they use to arrive at SBR,Crosswalk from ZIP if missing,Patient.address.state,Address.state (string),,,,,,,,,,,,
Patient.address_zip,Zip Code,ZIP/Postal code,Master Demographics,Dynamic Contact,,,,,,,,,,,,,,,,Part of Address coherence set; harmonize to match city,See Address Full,See Address Full,Specific,Ask Innovaccer what logic they use to arrive at SBR,Data cleaning rules needed,Patient.address.postalCode,Address.postalCode (string),,,,,,,,,,,,
Patient.address_country,Country,Country,Master Demographics,Dynamic Contact,,,,,,,,,,,,,,,,Part of Address coherence set,See Address Full,See Address Full,Specific,Ask Innovaccer what logic they use to arrive at SBR,Default to 'USA' for Alameda County records,Patient.address.country,Address.country (string),,,,,,,,,,,,
Patient.address_block,Census Block,Census block-level geography,Master Demographics,Calculated from Address,,,,,,,,,,,,,,,,Derive from Address Full using geocoding; placeholder in Mark's implementation,N/A - Derived,N/A - Derived,N/A,Ask Innovaccer what logic they use to arrive at SBR,Requires geocoding service; supports neighborhood SDOH analysis,Patient.address.extension(geolocation) OR custom extension,Extension ? Decimal (lat/long),,,,,,,,,,,,
Patient.address_district,Board of Supervisors District,Political district,Master Demographics,Calculated from Address,,,,,,,,,,,,,,,,Derive from Address Full using district boundaries; placeholder in Mark's implementation,N/A - Derived,N/A - Derived,N/A,Ask Innovaccer what logic they use to arrive at SBR,Supports health equity by political geography,Patient.address.district,Address.district (string),,,,,,,,,,,,
Patient.address_prev,Previous Address,Prior residential addresses,Master Demographics,Dynamic Contact,,,,,,,,,,,,,,,,"Maintain all with effective date ranges, do not overwrite historical addresses; same coherence requirement as current address",Same as Address Full,Variable,Complete > Partial,Ask Innovaccer what logic they use to arrive at SBR,Support multiple values with date ranges; aids continuity when patients move,Patient.address (with period.start/end),Address with Period (0..*),,,,,,,,,,,,
Patient.phone,Phone Number,Contact telephone number(s),Master Demographics,Dynamic Contact,,,,,,,,,,,,,,,,"Most recent verified contact, timestamp required, support multiple active numbers with type (mobile/home/work)",Similar to Address ranking,Variable,Specific,Ask Innovaccer what logic they use to arrive at SBR,Verification status matters; support multiple with type,Patient.telecom (system=phone),ContactPoint (0..*),,,,,,,,,,,,
Patient.email,Email,Email address,Master Demographics,Dynamic Contact,,,,,,,,,,,,,,,,"Most recent verified contact, timestamp required, validation check for format",Similar to Address ranking,Variable,Specific,Ask Innovaccer what logic they use to arrive at SBR,Format validation; verification status matters,Patient.telecom (system=email),ContactPoint (0..*),,,,,,,,,,,,
Patient.ssn,Social Security Number,SSN,Master Demographics,Static Identity,Masked or last 4 digits displayed,,,,,,,,,,,,,,,"Most reliable source, validation check for format, treat as immutable once verified",Government/Medical records primary,Variable,Specific,Ask Innovaccer what logic they use to arrive at SBR,Format validation; immutability once verified,Patient.identifier (system=SSN),Identifier,,,,,,,,,,,,
Patient.related_person,Related Persons,"Emergency contacts, next of kin, caregivers",Master Demographics,Dynamic Relationship,,,,,,,,,,,,,,,,"Most recent patient-provided list with timestamps, support multiple active relationships with roles",Patient-facing sources prioritized,Variable,Specific,Ask Innovaccer what logic they use to arrive at SBR,Support multiple with roles and effective dates,Patient.contact OR RelatedPerson resource,BackboneElement (0..*) OR separate resource,,,,,,,,,,,,
Patient.tribal_affil,Tribal Affiliation,Affiliated tribe(s) for AI/AN patients,Master Demographics,Static/Dynamic Identity,,,,,,,,,,,,,,,,"Self-reported, support multiple affiliations, most recent if changed",Patient self-report prioritized,Variable (small n),Specific,Ask Innovaccer what logic they use to arrive at SBR,Support multiple values,Patient.extension(us-core-tribal-affiliation),Extension ? Coding (0..*),,,,,,,,,,,,
Patient.housing_status,Housing Status,"Current housing situation (housed, homeless, unstably housed, etc.)",Master Patient Attributes,Calculated Temporal,,,,,,,,,,,,,,,,"Apply HMIS business rules to enrollment/exit/living situation tables (File 02, 03), monthly freeze logic, AccountID 1000 anchor (Syntranet) or UMPI (DAP); 4,600-8,000 HMIS enrollments processed in 22-40 seconds",HMIS authoritative; PopBuilder SQL stored procedures,Variable based on HMIS enrollment,Calculated,Ask Innovaccer what logic they use to arrive at SBR,2-3 years stakeholder validation (Mark Feinold); frozen historical months; rolling 2-3 month recompute window; CRITICAL: preserve freeze when UMPI merges,Observation.valueCodeableConcept (LOINC 71802-3) OR Patient.extension(custom),Observation resource OR Extension ? CodeableConcept,,,,,,,,,,,,
Patient.occupation,Occupation,Patient's occupation/employment,Master Patient Attributes,Calculated Temporal,,,,,,,,,,,,,,,,"Most recent self-reported or case management documented value, timestamp required, SDOH context",Case management > self-report,Variable,Calculated,Ask Innovaccer what logic they use to arrive at SBR,SDOH context; temporal considerations,Observation.valueCodeableConcept (LOINC 11341-5) OR Patient.extension(us-core-occupation),Observation resource OR Extension ? CodeableConcept,,,,,,,,,,,,
Encounter.class,Encounter Class,"Encounter type (inpatient, outpatient, emergency, etc.)",Encounter,Encounter Identity,,,,,,,,,,,,,,,,,,Variable,Specific,,ADT PV1-2 (ET); CMT 99.99% fill,Encounter.class,code,,,,,,,,,,,,
Encounter.serviceProvider,Encounter Service Provider,Facility or organization providing the encounter,Encounter,Encounter Identity,,,,,,,,,,,,,,,,,,Variable,Specific,,ADT PV1-4 (FTN) and PV1-3 (FTID),Encounter.serviceProvider,Reference(Organization),,,,,,,,,,,,
Encounter.identifier,Encounter Identifier,Unique encounter ID from EMR,Encounter,Encounter Identity,,,,,,,,,,,,,,,,,,Variable,Specific,,ADT PV1-19 (EID); CMT 99.99% fill,Encounter.identifier,Identifier,,,,,,,,,,,,
Encounter.period.start,Encounter Start,Encounter start date/time,Encounter,Encounter Timing,,,,,,,,,,,,,,,,,,Variable,Specific,,ADT PV1-44 (EFDT); CMT 99.99% fill,Encounter.period.start,dateTime,,,,,,,,,,,,
Encounter.period.end,Encounter End,Encounter end date/time,Encounter,Encounter Timing,,,,,,,,,,,,,,,,,,Variable,Specific,,ADT PV1-45 (ELDT); CMT 22.85% fill,Encounter.period.end,dateTime,,,,,,,,,,,,
Encounter.hospitalization.dischargeDisposition,Discharge Disposition,Discharge disposition code,Encounter,Encounter Timing,,,,,,,,,,,,,,,,,,Variable,Specific,,ADT PV1-36 (DRDC); ingest as received,Encounter.hospitalization.dischargeDisposition,CodeableConcept,,,,,,,,,,,,
Encounter.reasonCode,Encounter Reason,Reason for encounter / chief complaint,Encounter,Encounter Identity,,,,,,,,,,,,,,,,,,Variable,Specific,,ADT PV2-3 (ER); CMT 8.4% fill,Encounter.reasonCode,CodeableConcept,,,,,,,,,,,,
Encounter.location,Encounter Location,Point of care / room / bed,Encounter,Encounter Identity,,,,,,,,,,,,,,,,,,Variable,Specific,,ADT PV1-3 (Point of Care Room Bed),Encounter.location,BackboneElement,,,,,,,,,,,,
Encounter.serviceType,Encounter Service Type,Service type code,Encounter,Encounter Identity,,,,,,,,,,,,,,,,,,Variable,Specific,,ADT PV1-10 (STC); CMT 99.99% fill,Encounter.serviceType,CodeableConcept,,,,,,,,,,,,
Encounter.participant,Encounter Participant,PCP or other participating practitioner,Encounter,Encounter Identity,,,,,,,,,,,,,,,,,,Variable,Specific,,ADT PD1-4 (PCP); PV1 attending/referring,Encounter.participant.actor,Reference(Practitioner),,,,,,,,,,,,
Coverage.identifier,Insurance Plan ID,Insurance plan identifier,Coverage,Coverage Identity,,,,,,,,,,,,,,,,,,Variable,Specific,,ADT IN1-36 (INPID); CMT 99.26% fill,Coverage.identifier,Identifier,,,,,,,,,,,,
Coverage.payor,Payer Name,Payer / insurance company name,Coverage,Coverage Identity,,,,,,,,,,,,,,,,,,Variable,Specific,,ADT IN1-4 (INCN); CMT 100% fill,Coverage.payor,Reference(Organization),,,,,,,,,,,,
Condition.code,Condition Code,Diagnosis code and coding system,Condition,Condition Identity,,,,,,,,,,,,,,,,,,Variable,Specific,,ADT DG1-2 DG1-3 (PDCS PD PDN),Condition.code,CodeableConcept,,,,,,,,,,,,
